player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Ghaylène Chaalali,MF,Tunisia,28-286,1994,1,17,17,6.3,0.2,0,,0,1,17,2,3.00,0,0,0,0.00,0.00,0.0,0.6,-0.6,-3.19,-3.22
Gideon Mensah,DF,Ghana,24-146,1998,1,87,87,32.2,1.0,1,87,0,0,,2,3.00,3,2,+1,+1.03,+2.51,1.6,1.5,+0.2,+0.17,+0.96
Gio Reyna,FW,United States,20-028,2002,2,53,27,14.7,0.6,0,,0,2,27,2,0.50,1,1,0,0.00,+0.29,1.0,1.5,-0.5,-0.90,-0.96
Giorgian De Arrascaeta,MF,Uruguay,28-193,1994,2,108,54,40.0,1.2,1,79,0,1,29,1,1.50,2,1,+1,+0.83,+1.39,2.2,2.0,+0.2,+0.13,+0.13
Gleison Bremer,DF,Brazil,25-268,1997,2,109,55,22.7,1.2,1,90,1,1,19,3,1.50,0,2,-2,-1.65,-3.35,2.7,0.6,+2.2,+1.78,-0.11
Gonzalo Montiel,DF,Argentina,25-344,1997,3,88,29,18.3,1.0,1,62,0,2,13,2,2.33,0,0,0,0.00,-0.92,1.5,0.8,+0.7,+0.82,-0.72
Gonzalo Plata,MF,Ecuador,22-040,2000,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,4,3,+1,+0.33,+0.33,3.7,2.6,+1.1,+0.37,-5.44
Gonçalo Ramos,FW,Portugal,21-174,2001,4,152,38,33.8,1.7,2,70,0,2,6,1,2.25,6,3,+3,+1.78,+0.87,3.7,2.4,+1.3,+0.76,+0.76
Granit Xhaka,MF,Switzerland,30-075,1992,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,9,-4,-1.00,,5.6,5.3,+0.3,+0.08,
Gregor Kobel,GK,Switzerland,25-005,1997,1,90,90,25.0,1.0,1,90,1,0,,3,3.00,3,2,+1,+1.00,+2.67,2.7,1.3,+1.4,+1.37,+1.73
Grzegorz Krychowiak,MF,Poland,32-316,1990,4,332,83,92.2,3.7,4,83,2,0,,0,1.00,2,3,-1,-0.27,+2.94,3.5,6.5,-3.0,-0.81,-1.62
Guido Rodríguez,MF,Argentina,28-243,1994,1,56,56,11.7,0.6,1,56,0,0,,4,3.00,0,0,0,0.00,-0.85,0.2,0.3,-0.1,-0.16,-1.79
Guillermo Ochoa,GK,Mexico,37-151,1985,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Guillermo Varela,DF,Uruguay,29-262,1993,3,183,61,67.8,2.0,2,90,2,1,3,0,1.33,2,2,0,0.00,0.00,3.1,3.0,+0.2,+0.08,+0.08
Haji Wright,FW,United States,24-259,1998,4,137,34,38.1,1.5,1,82,0,3,18,0,1.25,1,2,-1,-0.66,-0.66,1.4,2.8,-1.4,-0.94,-1.40
Hakim Ziyech,FW,Morocco,29-267,1993,5,455,91,94.8,5.1,5,91,3,0,,0,2.20,5,1,+4,+0.79,+0.79,3.9,4.5,-0.6,-0.12,-0.67
Hannibal Mejbri,MF,Tunisia,19-324,2003,1,11,11,4.1,0.1,0,,0,1,11,2,1.00,0,0,0,0.00,0.00,0.0,0.2,-0.2,-1.46,-1.35
Hans Vanaken,MF,Belgium,30-109,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Haris Seferović,FW,Switzerland,30-292,1992,3,71,24,19.7,0.8,0,,0,3,24,1,1.00,1,4,-3,-3.80,-3.49,1.1,1.0,+0.1,+0.06,-0.02
Harry Kane,FW,England,29-136,1993,5,402,80,89.3,4.5,5,80,3,0,,0,2.00,11,3,+8,+1.79,-0.08,6.8,2.8,+3.9,+0.88,-0.40
Harry Maguire,DF,England,29-281,1993,5,429,86,95.3,4.8,5,86,4,0,,0,2.00,11,3,+8,+1.68,-2.61,7.6,3.0,+4.5,+0.95,+0.64
Harry Souttar,DF,Australia,24-050,1998,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Harry Wilson,MF,Wales,25-264,1997,3,160,53,59.3,1.8,2,73,0,1,14,0,0.33,1,1,0,0.00,+4.09,2.3,2.4,-0.2,-0.09,+1.31
Hassan Al Tambakti,DF,Saudi Arabia,23-305,1999,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,3,3,0,0.00,+2.00,1.3,4.5,-3.2,-1.60,-1.76
Hassan Al-Haydos,MF,Qatar,32-000,1990,3,206,69,76.3,2.3,3,69,0,0,,0,0.00,0,6,-6,-2.62,-2.62,1.1,3.2,-2.1,-0.94,-0.96
Hattan Bahebri,MF,Saudi Arabia,30-148,1992,2,4,2,1.5,0.0,0,,0,2,2,1,0.00,1,0,+1,+22.50,+23.52,0.7,0.2,+0.5,+11.39,+12.59
Henry Martín,FW,Mexico,30-023,1992,2,146,73,54.1,1.6,2,73,0,0,,1,2.00,2,0,+2,+1.23,+3.41,2.5,1.3,+1.3,+0.77,+1.03
Hernán Galíndez,GK,Ecuador,35-256,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Hidemasa Morita,MF,Japan,27-215,1995,3,285,95,73.1,3.2,3,95,2,0,,1,1.33,3,3,0,0.00,-0.86,3.5,2.4,+1.2,+0.37,+1.94
Hiroki Ito,DF,Japan,23-213,1999,1,45,45,11.5,0.5,0,,0,1,45,3,0.00,0,1,-1,-2.00,-2.52,0.8,0.1,+0.8,+1.55,+1.93
Hiroki Sakai,MF,Japan,32-243,1990,2,119,60,30.5,1.3,1,73,0,1,46,2,2.00,0,1,-1,-0.76,-1.42,1.2,3.0,-1.8,-1.87,-2.22
Hirving Lozano,FW,Mexico,27-134,1995,3,252,84,93.3,2.8,3,84,2,0,,0,1.33,2,2,0,0.00,+5.00,3.3,2.3,+0.9,+0.34,+0.55
Homam Ahmed,DF,Qatar,23-108,1999,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22
Hong Chul,DF,Korea Republic,32-085,1990,1,45,45,12.5,0.5,0,,0,1,45,3,0.00,1,0,+1,+2.00,+3.14,0.3,0.8,-0.5,-1.06,-0.49
Hossein Hosseini,GK,IR Iran,30-164,1992,2,161,81,59.6,1.8,1,90,1,1,71,1,1.50,4,6,-2,-1.12,-0.29,2.8,2.9,-0.1,-0.05,+0.66
Hossein Kanaanizadegan,DF,IR Iran,28-263,1994,1,45,45,16.7,0.5,0,,0,1,45,1,0.00,2,4,-2,-4.00,-3.60,1.2,1.3,-0.1,-0.17,+0.18
Hugo Guillamón,DF,Spain,22-314,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Hugo Lloris,GK,France,35-350,1986,4,360,90,80.0,4.0,4,90,4,0,,1,3.00,11,4,+7,+1.75,+2.75,8.7,5.3,+3.4,+0.86,+0.56
Hwang Hee-chan,MF,Korea Republic,26-319,1996,2,115,58,31.9,1.3,1,90,1,1,25,2,1.50,2,4,-2,-1.57,-1.20,1.4,3.7,-2.3,-1.78,-1.70
Hwang In-beom,MF,Korea Republic,26-082,1996,4,334,84,92.8,3.7,4,84,3,0,,0,1.00,4,8,-4,-1.08,-4.54,4.4,6.8,-2.4,-0.66,-0.36
Hwang Ui-jo,FW,Korea Republic,30-105,1992,4,106,27,29.4,1.2,1,73,0,3,11,0,1.00,1,0,+1,+0.85,+2.27,1.7,0.7,+0.9,+0.78,+2.00
Héctor Herrera,MF,Mexico,32-236,1990,2,160,80,59.3,1.8,2,80,1,0,,1,0.50,0,2,-2,-1.13,-1.94,0.9,1.2,-0.2,-0.14,-1.07
Héctor Moreno,DF,Mexico,34-328,1988,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Ibrahima Konaté,DF,France,23-200,1999,3,196,65,43.6,2.2,2,90,2,1,16,2,2.00,5,2,+3,+1.38,+0.31,5.8,1.1,+4.7,+2.15,+2.48
Idrissa Gana Gueye,MF,Senegal,33-076,1989,3,270,90,75.0,3.0,3,90,3,0,,0,2.00,5,4,+1,+0.33,+3.33,3.8,2.5,+1.3,+0.43,+0.67
Ike Ugbo,FW,Canada,24-081,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ilias Chair,FW,Morocco,25-042,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,
Iliman Ndiaye,FW,Senegal,22-280,2000,3,135,45,37.5,1.5,2,60,0,1,16,1,2.00,3,4,-1,-0.67,-0.27,2.7,1.6,+1.1,+0.75,+0.79
Ismail Jakobs,DF,Senegal,23-116,1999,4,278,70,77.2,3.1,3,83,1,1,29,0,1.50,4,6,-2,-0.65,-0.65,3.9,2.7,+1.2,+0.38,+0.52
Ismail Mohamad,FW,Qatar,32-250,1990,2,174,87,64.4,1.9,2,87,1,0,,1,0.00,1,5,-4,-2.07,-0.19,,,,,
Ismaila Sarr,FW,Senegal,24-289,1998,4,344,86,95.6,3.8,4,86,3,0,,0,1.50,4,6,-2,-0.52,-0.52,4.3,3.3,+1.0,+0.27,+0.30
Ismaël Koné,MF,Canada,20-188,2002,3,109,36,40.4,1.2,0,,0,3,36,0,0.00,0,2,-2,-1.65,+0.03,1.5,2.0,-0.5,-0.41,-0.87
Issam Jebali,FW,Tunisia,30-351,1991,3,182,61,67.4,2.0,2,76,0,1,31,0,1.33,0,1,-1,-0.49,-1.52,1.4,2.4,-1.0,-0.49,-1.00
Ivan Ilić,MF,Serbia,21-269,2001,1,34,34,12.6,0.4,0,,0,1,34,2,0.00,0,2,-2,-5.29,-4.91,0.2,1.4,-1.2,-3.18,-2.13
Ivan Perišić,FW,Croatia,33-312,1989,5,489,98,95.9,5.4,5,98,2,0,,0,1.40,5,3,+2,+0.37,-3.92,5.0,7.5,-2.5,-0.48,-1.87
Ivica Ivušić,GK,Croatia,27-313,1995,0,,,,,0,,0,0,,5,,,,,,,,,,,
Ivo Grbić,GK,Croatia,26-327,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
Iñaki Williams,FW,Ghana,28-179,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,3.5,5.4,-1.8,-0.66,-2.61
Jack Grealish,FW,England,27-092,1995,5,86,17,19.1,1.0,0,,0,5,17,0,2.00,2,1,+1,+1.05,-0.93,2.5,1.4,+1.1,+1.16,+0.28
Jackson Irvine,MF,Australia,29-279,1993,4,354,89,98.3,3.9,4,89,3,0,,0,1.50,4,6,-2,-0.51,-0.51,2.3,6.9,-4.6,-1.17,+3.76
Jackson Porozo,DF,Ecuador,22-129,2000,2,96,48,35.6,1.1,1,90,1,1,6,1,0.50,1,1,0,0.00,-0.52,1.8,0.1,+1.6,+1.55,+1.79
Jakub Kamiński,MF,Poland,20-189,2002,4,233,58,64.7,2.6,2,80,1,2,37,0,1.00,1,3,-2,-0.77,-0.77,3.0,3.8,-0.8,-0.31,+1.07
Jakub Kiwior,DF,Poland,22-299,2000,4,355,89,98.6,3.9,4,89,3,0,,0,1.00,2,4,-2,-0.51,-0.51,3.6,7.3,-3.7,-0.93,-21.53
Jamal Musiala,MF,Germany,19-288,2003,3,258,86,95.6,2.9,3,86,2,0,,0,1.33,6,4,+2,+0.70,+8.20,9.5,3.3,+6.2,+2.17,-1.02
James Maddison,FW,England,26-018,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
James Pantemis,GK,Canada,25-293,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jamie Maclaren,FW,Australia,29-135,1993,3,55,18,15.3,0.6,0,,0,3,18,1,2.00,1,0,+1,+1.64,+2.52,0.6,1.6,-1.0,-1.55,-0.39
Jan Bednarek,DF,Poland,26-243,1996,1,5,5,1.4,0.1,0,,0,1,5,3,0.00,1,1,0,0.00,+0.51,1.0,0.0,+0.9,+20.60,+21.53
Jan Vertonghen,DF,Belgium,35-231,1987,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Jason Cummings,FW,Australia,27-132,1995,1,35,35,9.7,0.4,0,,0,1,35,3,0.00,0,2,-2,-5.14,-5.14,0.0,1.6,-1.6,-4.22,-3.31
Jassem Gaber,DF,Qatar,20-294,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jawad El Yamiq,DF,Morocco,30-285,1992,4,154,39,32.1,1.7,1,90,1,3,21,1,2.50,2,0,+2,+1.17,+0.62,2.3,1.6,+0.7,+0.54,+0.79
Jean-Charles Castelletto,DF,Cameroon,27-319,1995,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80
Jean-Pierre Nsame,FW,Cameroon,29-224,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jens Stryger Larsen,DF,Denmark,31-293,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jeong Woo-yeong,MF,Korea Republic,23-082,1999,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-3.71,0.4,1.2,-0.8,-1.66,-1.18
Jeremie Frimpong,DF,Netherlands,22-001,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Jeremy Doku,MF,Belgium,20-198,2002,1,19,19,7.0,0.2,0,,0,1,19,2,1.00,0,0,0,0.00,+0.36,1.0,0.0,+1.0,+4.88,+5.19
Jeremy Sarmiento,MF,Ecuador,20-178,2002,3,85,28,31.5,0.9,0,,0,3,28,0,1.33,1,1,0,0.00,-0.49,0.9,0.6,+0.3,+0.32,-0.10
Jerome Ngom Mbekeli,MF,Cameroon,24-072,1998,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,1,0,+1,+18.00,+18.34,0.1,1.0,-0.9,-15.50,-14.99
Jesper Lindstrøm,MF,Denmark,22-285,2000,3,200,67,74.1,2.2,2,87,1,1,26,0,0.33,1,2,-1,-0.45,+0.84,2.3,2.3,0.0,+0.02,+1.58
Jesús Ferreira,FW,United States,21-352,2000,1,45,45,12.5,0.5,1,45,0,0,,3,0.00,0,2,-2,-4.00,-4.29,0.5,0.4,+0.1,+0.16,+0.27
Jesús Gallardo,DF,Mexico,28-118,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,3,-1,-0.33,,3.3,2.4,+0.9,+0.30,
Jewison Bennette,MF,Costa Rica,18-179,2004,3,103,34,38.1,1.1,1,60,0,2,22,0,1.00,1,6,-5,-4.37,-2.75,0.1,5.8,-5.7,-4.97,-3.35
Jhegson Méndez,MF,Ecuador,25-229,1997,2,180,90,66.7,2.0,2,90,2,0,,0,2.00,3,1,+2,+1.00,+2.00,2.9,0.4,+2.4,+1.22,+2.48
Joachim Andersen,DF,Denmark,26-194,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Joakim Mæhle,DF,Denmark,25-205,1997,3,249,83,92.2,2.8,3,83,2,0,,0,0.33,1,3,-2,-0.72,-0.72,2.5,3.8,-1.3,-0.49,-1.19
Joe Allen,MF,Wales,32-272,1990,2,94,47,34.8,1.0,1,80,0,1,14,1,0.00,0,5,-5,-4.79,-4.79,0.4,2.6,-2.2,-2.06,-2.20
Joe Morrell,MF,Wales,25-342,1997,2,33,17,12.2,0.4,0,,0,2,17,1,0.50,0,1,-1,-2.73,-1.21,0.2,1.2,-1.0,-2.66,-2.32
Joe Rodon,DF,Wales,25-050,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Joe Scally,DF,United States,19-345,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Campbell,FW,Costa Rica,30-168,1992,3,269,90,99.6,3.0,3,90,2,0,,0,1.00,3,11,-8,-2.68,-2.68,1.4,10.1,-8.7,-2.91,-2.91
Joel King,DF,Australia,22-042,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joel Waterman,DF,Canada,26-321,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Johan Venegas,FW,Costa Rica,34-014,1988,1,73,73,27.0,0.8,1,73,0,0,,2,0.00,2,2,0,0.00,+3.65,1.3,3.0,-1.7,-2.11,+1.08
Johan Vásquez,DF,Mexico,24-050,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
John Stones,DF,England,28-197,1994,5,434,87,96.4,4.8,5,87,3,0,,0,2.00,13,4,+9,+1.87,+1.87,8.4,3.8,+4.6,+0.95,+0.70
Jonas Hofmann,FW,Germany,30-150,1992,2,30,15,11.1,0.3,0,,0,2,15,1,0.50,0,2,-2,-6.00,-7.12,1.1,1.1,0.0,-0.06,-2.56
Jonas Omlin,GK,Switzerland,28-335,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jonas Wind,FW,Denmark,23-307,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jonathan David,FW,Canada,22-331,2000,3,192,64,71.1,2.1,2,81,1,1,31,0,0.00,1,4,-3,-1.41,+0.90,3.6,2.4,+1.2,+0.56,+1.54
Jonathan Osorio,MF,Canada,30-182,1992,3,119,40,44.1,1.3,1,64,0,2,28,0,0.00,1,4,-3,-2.27,-1.08,1.0,2.4,-1.4,-1.08,-2.13
Jonny Williams,FW,Wales,29-063,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jordan Ayew,FW,Ghana,31-091,1991,3,136,45,50.4,1.5,2,61,0,1,14,0,1.00,4,6,-2,-1.32,-1.32,3.0,3.3,-0.4,-0.26,+0.44
Jordan Henderson,MF,England,32-177,1990,4,271,68,60.2,3.0,3,83,1,1,22,1,1.75,7,2,+5,+1.66,-0.35,5.0,1.8,+3.1,+1.04,+0.29
Jordan Morris,FW,United States,28-046,1994,2,4,2,1.1,0.0,0,,0,2,2,2,0.50,0,0,0,0.00,+0.25,0.1,0.1,0.0,+0.18,+0.25
Jordan Pickford,GK,England,28-279,1994,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,13,4,+9,+1.80,,8.7,4.0,+4.6,+0.92,
Jordan Veretout,MF,France,29-285,1993,1,62,62,13.8,0.7,1,62,0,0,,4,0.00,0,1,-1,-1.45,-3.08,0.2,0.5,-0.3,-0.44,-1.38
Jordi Alba,DF,Spain,33-265,1989,4,264,66,67.7,2.9,3,80,0,1,23,0,1.25,5,0,+5,+1.70,+0.99,4.3,1.7,+2.5,+0.86,+0.70
Jorge Eduardo Sánchez,DF,Mexico,25-001,1997,2,175,88,64.8,1.9,2,88,1,0,,1,2.00,2,0,+2,+1.03,+3.87,2.9,1.4,+1.4,+0.74,+1.25
Joseph Aidoo,DF,Ghana,27-073,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Josh Sargent,FW,United States,22-294,2000,3,157,52,43.6,1.7,2,75,0,1,8,1,1.67,2,0,+2,+1.15,+2.48,1.7,1.1,+0.6,+0.36,+0.77
Joshua Kimmich,MF,Germany,27-306,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Josip Juranović,DF,Croatia,27-117,1995,5,510,102,100.0,5.7,5,102,5,0,,0,1.40,6,3,+3,+0.53,,5.8,7.5,-1.7,-0.34,-0.34
Josip Stanišić,DF,Croatia,22-253,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Josip Šutalo,DF,Croatia,22-286,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
José Cifuentes,MF,Ecuador,23-274,1999,2,59,30,21.9,0.7,0,,0,2,30,1,1.50,1,1,0,0.00,-0.43,0.8,0.6,+0.3,+0.39,-0.01
José Luis Rodríguez Bebanz,DF,Uruguay,25-272,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
José María Giménez,DF,Uruguay,27-325,1995,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,2,0,0.00,,3.7,3.5,+0.1,+0.05,
José Sá,GK,Portugal,29-328,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
João Cancelo,DF,Portugal,28-198,1994,4,310,78,68.9,3.4,3,90,3,1,40,1,1.50,6,4,+2,+0.58,-1.99,5.3,4.5,+0.8,+0.22,-0.11
João Félix,FW,Portugal,23-031,1999,4,331,83,73.6,3.7,4,83,1,0,,1,2.25,9,3,+6,+1.63,+1.63,5.4,4.2,+1.1,+0.31,+0.21
João Mário,FW,Portugal,29-326,1993,2,84,42,18.7,0.9,1,81,0,1,3,3,1.50,1,2,-1,-1.07,-2.79,1.3,1.5,-0.2,-0.23,-0.59
João Palhinha,MF,Portugal,27-155,1995,3,38,13,8.4,0.4,0,,0,3,13,2,2.00,1,2,-1,-2.37,-3.90,1.1,1.4,-0.2,-0.57,-0.90
Joško Gvardiol,DF,Croatia,20-322,2002,5,510,102,100.0,5.7,5,102,5,0,,0,1.40,6,3,+3,+0.53,,5.8,7.5,-1.7,-0.34,-0.34
Juan Foyth,DF,Argentina,24-333,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Juan Pablo Vargas,DF,Costa Rica,27-188,1995,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,4,-2,-2.00,+1.00,1.3,5.7,-4.4,-4.40,-2.25
Jude Bellingham,MF,England,19-165,2003,5,414,83,92.0,4.6,5,83,3,0,,0,2.00,13,4,+9,+1.96,+1.96,8.2,3.8,+4.4,+0.96,+0.45
Jules Koundé,DF,France,24-029,1998,4,271,68,60.2,3.0,3,90,2,1,2,1,3.00,7,2,+5,+1.66,+1.16,5.0,3.8,+1.2,+0.41,-0.85
Julian Brandt,FW,Germany,26-223,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,
Julián Álvarez,FW,Argentina,22-314,2000,5,289,58,60.2,3.2,3,76,0,2,30,0,2.00,8,0,+8,+2.49,+4.38,6.5,0.5,+5.9,+1.85,+1.06
Jung Woo-young,MF,Korea Republic,32-362,1989,4,303,76,84.2,3.4,4,76,2,0,,0,1.00,4,8,-4,-1.19,-2.77,3.9,6.3,-2.4,-0.70,-0.47
Junior Hoilett,FW,Canada,32-189,1990,3,161,54,59.6,1.8,2,66,0,1,29,0,0.00,1,5,-4,-2.24,-1.41,3.5,2.5,+1.0,+0.57,+1.13
Junya Ito,MF,Japan,29-277,1993,4,324,81,83.1,3.6,3,100,3,1,24,0,1.75,5,4,+1,+0.28,+0.28,4.5,5.6,-1.1,-0.34,-0.75
Jurriën Timber,DF,Netherlands,21-177,2001,4,390,98,81.3,4.3,4,98,4,0,,1,2.00,8,4,+4,+0.92,-1.08,3.9,5.2,-1.2,-0.31,-0.15
Justin Bijlow,GK,Netherlands,24-323,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,
Kai Havertz,FW,Germany,23-183,1999,2,102,51,37.8,1.1,1,78,0,1,24,1,1.50,4,2,+2,+1.76,+2.30,6.0,1.9,+4.1,+3.59,+2.22
Kalidou Koulibaly,DF,Senegal,31-174,1991,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,5,7,-2,-0.50,,4.6,3.5,+1.0,+0.26,
