player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Mislav Oršić,FW,Croatia,29-347,1992,4,28,7,5.5,0.3,0,,0,4,7,1,1.50,2,0,+2,+6.43,+6.24,1.0,0.3,+0.7,+10.84,+11.27
Mitchell Duke,FW,Australia,31-327,1991,4,270,68,75.0,3.0,4,68,0,0,,0,1.50,3,4,-1,-0.33,+0.67,1.7,4.0,-2.3,-0.77,+1.82
Mohamed Ali Ben Romdhane,MF,Tunisia,23-096,1999,1,73,73,27.0,0.8,1,73,0,0,,2,3.00,1,0,+1,+1.23,+1.69,0.5,0.2,+0.3,+0.37,+0.74
Mohamed Dräger,DF,Tunisia,26-169,1996,2,132,66,48.9,1.5,2,66,0,0,,1,0.50,0,1,-1,-0.68,-1.33,1.2,1.7,-0.5,-0.32,-0.30
Mohamed Kanno,MF,Saudi Arabia,28-080,1994,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,
Mohammed Al Yami,GK,Saudi Arabia,25-119,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Mohammed Al-Breik,DF,Saudi Arabia,30-087,1992,2,65,33,24.1,0.7,1,64,0,1,1,0,1.50,0,1,-1,-1.38,-0.95,1.4,0.6,+0.8,+1.16,+2.86
Mohammed Al-Owais,GK,Saudi Arabia,31-062,1991,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,3.0,6.0,-3.0,-1.01,
Mohammed Muntari,FW,Qatar,28-356,1993,3,63,21,23.3,0.7,0,,0,3,21,0,0.00,1,1,0,0.00,+2.61,0.3,0.3,0.0,+0.02,+0.95
Mohammed Salisu,DF,Ghana,23-238,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,7,-2,-0.67,,4.1,5.6,-1.4,-0.48,
Mohammed Waad,MF,Qatar,23-084,1999,2,28,14,10.4,0.3,0,,0,2,14,1,0.00,0,1,-1,-3.21,-1.35,0.2,0.3,-0.1,-0.17,+0.60
Moisés Caicedo,MF,Ecuador,21-039,2001,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,4,3,+1,+0.33,+0.33,3.7,2.6,+1.1,+0.37,-4.79
Moisés Ramírez,GK,Ecuador,22-093,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Montassar Talbi,DF,Tunisia,24-199,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,1,0,0.00,,2.3,2.8,-0.5,-0.17,
Morteza Pouraliganji,DF,IR Iran,30-236,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,4,7,-3,-1.00,,3.2,4.2,-0.9,-0.32,
Mostafa Meshaal,MF,Qatar,21-258,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Mouez Hassen,GK,Tunisia,27-281,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Moumi Ngamaleu,FW,Cameroon,28-155,1994,2,95,48,35.2,1.1,1,85,0,1,10,1,1.50,0,0,0,0.00,0.00,0.3,1.7,-1.4,-1.29,-0.78
Moussa N'Diaye,DF,Senegal,20-176,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Moustapha Name,MF,Senegal,27-220,1995,0,,,,,0,,0,0,,4,,,,,,,,,,,
Munir,GK,Morocco,33-215,1989,1,90,90,18.8,1.0,1,90,1,0,,4,3.00,2,0,+2,+2.00,+1.54,1.5,1.0,+0.5,+0.52,+0.70
Musab Kheder,DF,Qatar,29-076,1993,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+2.05,0.0,0.0,0.0,-0.07,+0.65
Na Sang-ho,FW,Korea Republic,26-121,1996,2,119,60,33.1,1.3,1,74,0,1,45,2,0.50,2,1,+1,+0.76,+2.25,1.9,0.9,+1.1,+0.80,+2.13
Nader Ghandri,DF,Tunisia,27-296,1995,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,0.8,-0.3,-0.30,-0.20
Nahuel Molina,DF,Argentina,24-249,1998,5,392,78,81.7,4.4,4,91,2,1,28,0,2.00,9,5,+4,+0.92,+0.92,8.0,1.1,+7.0,+1.60,+0.91
Naif Al-Hadhrami,MF,Qatar,21-146,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nampalys Mendy,MF,Senegal,30-171,1992,4,272,68,75.6,3.0,3,85,2,1,16,0,1.50,2,5,-3,-0.99,-2.02,2.3,2.6,-0.3,-0.10,-1.49
Nasser Al-Dawsari,FW,Saudi Arabia,23-357,1998,1,5,5,1.9,0.1,0,,0,1,5,2,0.00,0,0,0,0.00,+0.68,0.1,0.2,-0.1,-2.08,-1.09
Nathan Aké,DF,Netherlands,27-296,1995,5,479,96,99.8,5.3,5,96,4,0,,0,2.20,10,4,+6,+1.13,+1.13,4.6,6.0,-1.4,-0.28,-0.06
Nathaniel Atkinson,DF,Australia,23-181,1999,1,84,84,23.3,0.9,1,84,0,0,,2,0.00,1,4,-3,-3.21,-3.54,0.5,3.7,-3.2,-3.39,-2.82
Nawaf Al Abed,MF,Saudi Arabia,32-319,1990,2,88,44,32.6,1.0,0,,0,2,44,1,1.50,2,1,+1,+1.02,+2.51,0.9,2.3,-1.4,-1.45,-0.64
Nawaf Al Aqidi,GK,Saudi Arabia,22-215,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Nayef Aguerd,DF,Morocco,26-256,1996,4,353,88,73.5,3.9,4,88,3,0,,0,2.00,4,1,+3,+0.76,+0.06,2.6,3.2,-0.6,-0.14,-0.37
Naïm Sliti,MF,Tunisia,30-137,1992,2,114,57,42.2,1.3,1,90,1,1,24,1,0.50,0,1,-1,-0.79,-1.37,0.9,1.7,-0.7,-0.59,-0.73
Neco Williams,DF,Wales,21-242,2001,3,204,68,75.6,2.3,3,68,1,0,,0,0.33,0,3,-3,-1.32,+1.40,1.5,2.7,-1.2,-0.53,+0.37
Nemanja Gudelj,MF,Serbia,31-025,1991,2,92,46,34.1,1.0,1,56,0,1,36,1,0.00,0,0,0,0.00,+1.52,0.3,2.1,-1.9,-1.83,-0.79
Nemanja Maksimović,MF,Serbia,27-319,1995,3,122,41,45.2,1.4,1,90,1,2,16,0,0.33,3,3,0,0.00,+1.82,2.1,2.6,-0.5,-0.35,+1.76
Nemanja Radonjić,DF,Serbia,26-299,1996,3,60,20,22.2,0.7,0,,0,3,20,0,0.33,0,2,-2,-3.00,-2.57,0.4,1.7,-1.3,-1.93,-0.79
Neymar,MF,Brazil,30-309,1992,3,279,93,58.1,3.1,3,93,1,0,,0,2.33,7,2,+5,+1.61,+1.61,8.0,1.2,+6.8,+2.47,+1.26
Nick Pope,GK,England,30-236,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
Niclas Füllkrug,FW,Germany,29-305,1993,3,69,23,25.6,0.8,0,,0,3,23,0,1.33,4,3,+1,+1.30,+1.30,5.9,1.1,+4.8,+6.25,+5.42
Nico Elvedi,DF,Switzerland,26-072,1996,2,180,90,50.0,2.0,2,90,2,0,,1,1.50,1,1,0,0.00,+2.00,1.7,1.8,0.0,-0.01,-0.18
Nico Schlotterbeck,DF,Germany,23-010,1999,2,94,47,34.8,1.0,1,90,1,1,4,1,0.50,1,2,-1,-0.96,-1.98,3.1,1.5,+1.6,+1.54,-1.04
Nico Williams,FW,Spain,20-152,2002,4,146,37,37.4,1.6,1,56,0,3,30,0,1.25,4,3,+1,+0.62,-1.23,2.0,2.6,-0.6,-0.38,-1.61
Nicola Zalewski,MF,Poland,20-322,2002,2,65,33,18.1,0.7,1,45,0,1,20,2,0.50,1,2,-1,-1.38,-1.08,1.0,0.6,+0.4,+0.58,+1.55
Nicolas Jackson,FW,Senegal,21-174,2001,1,17,17,4.7,0.2,0,,0,1,17,3,0.00,0,2,-2,-10.59,-10.59,0.4,0.3,+0.1,+0.33,+0.08
Nicolas Nkoulou,DF,Cameroon,32-259,1990,2,180,90,66.7,2.0,2,90,2,0,,0,0.50,3,4,-1,-0.50,-1.50,3.0,3.3,-0.4,-0.18,+1.80
Nicolás De La Cruz,MF,Uruguay,25-193,1997,2,38,19,14.1,0.4,0,,0,2,19,1,2.00,0,0,0,0.00,0.00,0.4,0.7,-0.3,-0.74,-0.91
Nicolás Otamendi,DF,Argentina,34-302,1988,5,480,96,100.0,5.3,5,96,5,0,,0,2.00,9,5,+4,+0.75,,9.5,1.9,+7.6,+1.52,+1.52
Nicolás Tagliafico,DF,Argentina,30-102,1992,4,164,41,34.2,1.8,1,70,0,3,31,1,1.75,2,5,-3,-1.65,-3.64,4.4,1.1,+3.3,+2.24,+1.13
Niklas Süle,DF,Germany,27-099,1995,3,269,90,99.6,3.0,3,90,2,0,,0,1.33,6,5,+1,+0.33,+0.33,9.5,3.4,+6.1,+2.05,-44.55
Nikola Milenković,DF,Serbia,25-060,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,5,8,-3,-1.00,,3.4,7.3,-3.9,-1.32,
Nikola Vlašić,FW,Croatia,25-068,1997,4,134,34,26.3,1.5,1,45,0,3,30,1,1.50,2,1,+1,+0.67,+0.19,2.0,2.2,-0.2,-0.20,+0.11
Noa Lang,MF,Netherlands,23-177,1999,1,8,8,1.7,0.1,0,,0,1,8,4,1.00,0,0,0,0.00,-1.14,0.0,0.4,-0.4,,
Noah Okafor,FW,Switzerland,22-201,2000,3,45,15,12.5,0.5,0,,0,3,15,0,2.00,0,2,-2,-4.00,-3.43,0.4,0.5,-0.1,-0.15,-0.26
Nouhou Tolo,DF,Cameroon,25-171,1997,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,
Noussair Mazraoui,DF,Morocco,25-027,1997,4,320,80,66.7,3.6,4,80,2,0,,0,2.00,4,1,+3,+0.84,+0.28,2.6,3.2,-0.6,-0.16,-0.36
Nuno Mendes,DF,Portugal,20-175,2002,1,41,41,9.1,0.5,1,41,0,0,,0,3.00,0,0,0,0.00,-1.32,0.2,0.6,-0.4,-0.88,-1.24
Néstor Araujo,DF,Mexico,31-104,1991,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,-2.50,0.3,0.3,-0.1,-0.05,-0.53
Oliver Christensen,GK,Denmark,23-264,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Olivier Giroud,FW,France,36-072,1986,4,315,79,70.0,3.5,4,79,1,0,,1,3.00,9,2,+7,+2.00,+2.67,7.2,3.7,+3.5,+0.99,+0.82
Olivier Mbaizo,DF,Cameroon,25-118,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Olivier Ntcham,MF,Cameroon,26-305,1996,1,25,25,9.3,0.3,0,,0,1,25,2,3.00,1,0,+1,+3.60,+3.97,0.2,1.2,-1.0,-3.84,-3.34
Orbelín Pineda,MF,Mexico,26-262,1996,1,76,76,28.1,0.8,1,76,0,0,,2,3.00,2,0,+2,+2.37,+3.76,1.9,0.4,+1.4,+1.71,+1.96
Osman Bukari,MF,Ghana,23-363,1998,2,59,30,21.9,0.7,0,,0,2,30,1,0.00,1,2,-1,-1.53,-1.10,1.2,1.0,+0.2,+0.33,+1.03
Otávio,MF,Portugal,27-305,1995,3,196,65,43.6,2.2,3,65,0,0,,0,2.00,5,2,+3,+1.38,+0.31,3.3,2.0,+1.3,+0.61,+0.63
Ousmane Dembélé,FW,France,25-210,1997,5,315,63,70.0,3.5,4,76,0,1,12,0,2.40,9,3,+6,+1.71,+1.71,7.8,3.3,+4.5,+1.29,+1.80
Pablo Sarabia,FW,Spain,30-214,1992,1,3,3,0.8,0.0,0,,0,1,3,3,1.00,0,0,0,0.00,-1.40,0.3,0.0,+0.3,,
Paik Seung-ho,MF,Korea Republic,25-269,1997,1,26,26,7.2,0.3,0,,0,1,26,3,0.00,1,0,+1,+3.46,+4.54,0.2,0.3,-0.1,-0.30,+0.36
Pape Abou Cissé,DF,Senegal,27-088,1995,3,105,35,29.2,1.2,1,90,1,2,8,1,2.00,1,3,-2,-1.71,-1.71,1.1,0.9,+0.2,+0.18,-0.11
Pape Gueye,MF,Senegal,23-321,1999,3,153,51,42.5,1.7,1,90,1,2,32,1,1.00,2,4,-2,-1.18,-1.18,2.8,1.5,+1.3,+0.76,+0.87
Pape Matar Sarr,MF,Senegal,20-088,2002,2,59,30,16.4,0.7,0,,0,2,30,2,1.50,1,2,-1,-1.53,-1.23,0.5,0.6,0.0,-0.07,-0.39
Papu Gómez,MF,Argentina,34-299,1988,2,107,54,22.3,1.2,2,54,0,0,,3,1.50,2,2,0,0.00,-0.97,1.1,0.2,+0.9,+0.72,-0.91
Pathé Ciss,MF,Senegal,28-270,1994,3,146,49,40.6,1.6,2,60,0,1,27,1,2.00,3,4,-1,-0.62,-0.20,2.8,2.0,+0.8,+0.48,+0.38
Patrick Sequeira,GK,Costa Rica,23-285,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Pau Torres,DF,Spain,25-329,1997,1,90,90,23.1,1.0,1,90,1,0,,3,0.00,1,2,-1,-1.00,-3.10,1.0,1.4,-0.4,-0.42,-1.36
Paulo Dybala,FW,Argentina,29-026,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Payam Niazmand,GK,IR Iran,27-249,1995,0,,,,,0,,0,0,,3,,,,,,,,,,,
Pedri,MF,Spain,20-016,2002,4,356,89,91.3,4.0,4,89,3,0,,0,1.25,6,3,+3,+0.76,-7.18,5.3,3.4,+1.9,+0.52,-0.69
Pedro,FW,Brazil,25-174,1997,2,64,32,13.3,0.7,0,,0,2,32,3,0.50,1,2,-1,-1.41,-2.70,2.5,0.5,+2.0,+5.36,+3.77
Pepe,DF,Portugal,39-288,1983,4,360,90,80.0,4.0,4,90,4,0,,1,1.50,9,4,+5,+1.25,+0.25,5.8,5.6,+0.2,+0.05,-1.03
Pervis Estupiñán,DF,Ecuador,24-324,1998,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Phil Foden,FW,England,22-197,2000,4,258,65,57.3,2.9,3,79,1,1,20,1,2.25,9,3,+6,+2.09,+0.69,6.6,2.8,+3.8,+1.32,+0.93
Philipp Köhn,GK,Switzerland,24-253,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Piero Hincapié,DF,Ecuador,20-336,2002,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,3,+1,+0.33,,3.7,2.6,+1.2,+0.39,
Pierre Højbjerg,MF,Denmark,27-128,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Pierre Kunde,MF,Cameroon,27-138,1995,2,131,66,48.5,1.5,2,66,0,0,,1,2.00,3,3,0,0.00,0.00,2.4,2.7,-0.3,-0.22,+1.11
Piotr Zieliński,MF,Poland,28-205,1994,4,328,82,91.1,3.6,4,82,2,0,,0,1.00,2,5,-3,-0.82,-3.64,3.2,6.9,-3.7,-1.02,-3.85
Predrag Rajković,GK,Serbia,27-041,1995,0,,,0.0,0.0,0,,0,0,,2,0.00,2,3,-1,,,,,,,
Przemysław Frankowski,MF,Poland,27-243,1995,4,240,60,66.7,2.7,3,74,1,1,19,0,1.00,2,2,0,0.00,+1.50,2.7,4.9,-2.2,-0.84,-0.46
Rafael Leão,FW,Portugal,23-184,1999,5,88,18,19.6,1.0,0,,0,5,18,0,1.80,4,2,+2,+2.05,+1.05,2.1,2.4,-0.3,-0.27,-0.65
Raheem Sterling,FW,England,28-003,1994,3,149,50,33.1,1.7,2,69,0,1,12,1,1.33,4,1,+3,+1.81,+0.02,2.4,1.0,+1.5,+0.88,-0.06
Ramin Rezaeian,DF,IR Iran,32-265,1990,2,180,90,66.7,2.0,2,90,2,0,,1,1.50,2,1,+1,+0.50,+4.50,1.9,2.0,-0.2,-0.10,+0.66
Randal Kolo Muani,FW,France,24-006,1998,1,90,90,20.0,1.0,1,90,1,0,,4,0.00,0,1,-1,-1.00,-2.75,0.8,0.5,+0.3,+0.30,-0.56
Raphaël Guerreiro,DF,Portugal,28-354,1993,4,279,70,62.0,3.1,3,77,2,1,49,1,2.25,11,4,+7,+2.26,+2.78,5.6,3.6,+2.1,+0.66,+1.07
Raphaël Varane,DF,France,29-230,1993,4,316,79,70.2,3.5,4,79,2,0,,1,2.25,6,4,+2,+0.57,-2.12,3.9,5.1,-1.3,-0.36,-3.70
Raphinha,FW,Brazil,25-362,1996,5,315,63,65.6,3.5,4,76,1,1,12,0,2.00,6,2,+4,+1.14,+0.60,8.1,1.4,+6.7,+1.91,+0.16
Rasmus Nissen,DF,Denmark,25-153,1997,3,224,75,83.0,2.5,3,75,1,0,,0,0.33,1,2,-1,-0.40,+1.55,2.3,3.4,-1.1,-0.44,-0.28
Raúl Jiménez,FW,Mexico,31-220,1991,3,59,20,21.9,0.7,0,,0,3,20,0,1.33,0,2,-2,-3.05,-3.48,0.5,0.9,-0.4,-0.65,-1.22
Remko Pasveer,GK,Netherlands,39-033,1983,0,,,,,0,,0,0,,5,,,,,,,,,,,
Remo Freuler,MF,Switzerland,30-240,1992,4,323,81,89.7,3.6,4,81,3,0,,0,1.50,4,6,-2,-0.56,+4.31,4.8,4.7,+0.1,+0.03,-0.44
Renato Steffen,FW,Switzerland,31-038,1991,1,32,32,8.9,0.4,0,,0,1,32,2,0.00,0,1,-1,-2.81,-1.99,0.1,0.5,-0.4,-1.03,-1.22
Ricardo Horta,FW,Portugal,28-087,1994,3,119,40,26.4,1.3,1,90,1,2,15,2,1.00,2,2,0,0.00,-1.63,1.6,2.4,-0.8,-0.58,-1.13
Ricardo Rodríguez,DF,Switzerland,30-108,1992,4,359,90,99.7,4.0,4,90,3,0,,0,1.50,5,9,-4,-1.00,-1.00,5.5,5.3,+0.1,+0.03,-17.07
Richarlison,FW,Brazil,25-215,1997,4,323,81,67.3,3.6,4,81,1,0,,1,2.50,6,1,+5,+1.39,+1.39,7.6,1.3,+6.4,+1.77,-0.27
Richie Laryea,DF,Canada,27-338,1995,3,160,53,59.3,1.8,2,67,0,1,26,0,0.00,1,3,-2,-1.13,+1.33,3.2,1.6,+1.6,+0.88,+1.89
Riley McGree,FW,Australia,24-039,1998,4,265,66,73.6,2.9,4,66,0,0,,0,1.50,3,6,-3,-1.02,-1.97,1.7,5.2,-3.5,-1.17,+0.21
Ritsu Doan,FW,Japan,24-178,1998,4,217,54,55.6,2.4,2,76,0,2,33,0,1.75,5,1,+4,+1.66,+3.22,3.9,2.0,+1.9,+0.78,+2.11
Riyadh Sharahili,MF,Saudi Arabia,29-227,1993,1,54,54,20.0,0.6,0,,0,1,54,0,0.00,1,2,-1,-1.67,-1.25,1.0,1.5,-0.5,-0.79,+0.27
Roan Wilson,MF,Costa Rica,20-224,2002,1,1,1,0.4,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+2.68,0.0,0.5,-0.5,-46.61,-43.87
Robert Arboleda,DF,Ecuador,31-050,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
Robert Gumny,DF,Poland,24-190,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Robert Lewandowski,FW,Poland,34-112,1988,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,3,5,-2,-0.50,,4.5,7.3,-2.7,-0.69,
Robert Skov,DF,Denmark,26-205,1996,1,22,22,8.1,0.2,0,,0,1,22,2,0.00,0,0,0,0.00,+0.73,0.2,0.0,+0.2,+0.67,+1.16
Robert Sánchez,GK,Spain,25-023,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Roberto Alvarado,FW,Mexico,24-095,1998,1,18,18,6.7,0.2,0,,0,1,18,2,0.00,0,1,-1,-5.00,-5.00,0.0,0.0,0.0,-0.22,-0.55
Rodolfo Cota,GK,Mexico,35-161,1987,0,,,,,0,,0,0,,3,,,,,,,,,,,
Rodri,DF,Spain,26-172,1996,4,390,98,100.0,4.3,4,98,4,0,,0,1.25,9,3,+6,+1.38,,6.2,3.4,+2.7,+0.68,+0.68
Rodrigo Bentancur,MF,Uruguay,25-169,1997,3,213,71,78.9,2.4,3,71,2,0,,0,1.33,2,2,0,0.00,0.00,3.2,2.8,+0.4,+0.18,+0.63
Rodrigo De Paul,MF,Argentina,28-201,1994,5,425,85,88.5,4.7,5,85,4,0,,0,2.00,8,3,+5,+1.06,+2.70,8.3,1.4,+6.8,+1.45,+0.15
Rodrygo,MF,Brazil,21-336,2001,5,181,36,37.7,2.0,1,54,0,4,32,0,2.00,2,1,+1,+0.50,-0.71,4.2,0.9,+3.3,+1.98,+0.18
Rogelio Funes Mori,FW,Mexico,31-281,1991,1,5,5,1.9,0.1,0,,0,1,5,2,3.00,0,1,-1,-18.00,-18.00,0.2,0.6,-0.5,-8.77,-9.24
Romain Saïss,DF,Morocco,32-260,1990,5,446,89,92.9,5.0,5,89,4,0,,0,2.20,5,1,+4,+0.81,+0.81,3.9,4.1,-0.2,-0.03,+0.07
Romario Ibarra,MF,Ecuador,28-078,1994,2,68,34,25.2,0.8,1,67,0,1,1,1,2.00,2,0,+2,+2.65,+3.09,1.2,0.3,+0.9,+1.21,+1.10
Romelu Lukaku,FW,Belgium,29-212,1993,2,55,28,20.4,0.6,0,,0,2,28,0,0.50,0,1,-1,-1.64,-1.64,2.1,0.8,+1.3,+2.20,+2.70
Roozbeh Cheshmi,DF,IR Iran,29-140,1993,2,58,29,21.5,0.6,1,45,0,1,13,1,1.50,2,3,-1,-1.55,-0.70,0.6,1.1,-0.4,-0.63,-0.41
Ruben Vargas,FW,Switzerland,24-128,1998,4,285,71,79.2,3.2,4,71,0,0,,0,1.50,5,6,-1,-0.32,+3.28,4.9,4.3,+0.6,+0.18,+0.47
Rubin Colwill,MF,Wales,20-228,2002,1,10,10,3.7,0.1,0,,0,1,10,2,0.00,0,0,0,0.00,+1.73,0.2,0.3,-0.1,-1.24,-0.64
Rui Patrício,GK,Portugal,34-299,1988,0,,,,,0,,0,0,,5,,,,,,,,,,,
Ró-Ró,DF,Qatar,32-127,1990,3,262,87,97.0,2.9,3,87,2,0,,0,0.00,1,6,-5,-1.72,+9.53,1.3,3.3,-2.1,-0.72,-0.22
Rónald Matarrita,DF,Costa Rica,28-155,1994,2,26,13,9.6,0.3,0,,0,2,13,1,0.00,0,4,-4,-13.85,-12.37,0.0,3.4,-3.3,-11.51,-9.53
Rúben Dias,DF,Portugal,25-211,1997,4,360,90,80.0,4.0,4,90,4,0,,1,2.25,11,4,+7,+1.75,+2.75,6.5,4.8,+1.7,+0.42,+0.84
Rúben Neves,MF,Portugal,25-273,1997,5,268,54,59.6,3.0,4,65,0,1,10,0,1.80,4,3,+1,+0.34,-2.14,3.3,2.9,+0.4,+0.13,-0.30
Saad Al Sheeb,GK,Qatar,32-295,1990,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23
Sadegh Moharrami,DF,IR Iran,26-285,1996,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,2,6,-4,-4.00,-4.50,1.4,2.1,-0.8,-0.75,-0.66
Saeid Ezatolahi,MF,IR Iran,26-071,1996,3,217,72,80.4,2.4,2,86,1,1,45,0,1.00,2,4,-2,-0.83,+0.87,2.6,3.1,-0.5,-0.22,+0.47
Saleh Al-Shehri,FW,Saudi Arabia,29-040,1993,3,223,74,82.6,2.5,3,74,0,0,,0,1.00,2,5,-3,-1.21,-3.13,2.1,4.8,-2.7,-1.09,-0.46
