player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Mitchell Duke,FW,Australia,31-327,1991,3.0,96,0,11,47,40,11,96,1,2,50.0,11,1,61,5
Mohamed Ali Ben Romdhane,MF,Tunisia,23-096,1999,0.8,31,1,5,18,10,3,31,1,3,33.3,0,5,15,3
Mohamed Dräger,DF,Tunisia,26-169,1996,1.5,70,4,25,27,20,3,70,1,2,50.0,5,0,33,3
Mohamed Kanno,MF,Saudi Arabia,28-080,1994,3.0,184,10,31,109,48,6,184,5,10,50.0,6,1,117,7
Mohammed Al-Breik,DF,Saudi Arabia,30-087,1992,0.7,57,3,15,22,20,2,57,0,0,,1,0,38,2
Mohammed Al-Owais,GK,Saudi Arabia,31-062,1991,3.0,113,87,111,3,0,0,113,0,0,,0,0,25,0
Mohammed Muntari,FW,Qatar,28-356,1993,0.7,28,2,5,18,5,3,28,0,0,,1,0,22,0
Mohammed Salisu,DF,Ghana,23-238,1999,3.0,184,27,102,72,11,6,184,0,0,,1,1,114,1
Mohammed Waad,MF,Qatar,23-084,1999,0.3,16,0,5,8,3,0,16,1,1,100.0,1,0,12,0
Moisés Caicedo,MF,Ecuador,21-039,2001,3.0,173,4,29,121,23,3,173,0,0,,3,1,117,1
Montassar Talbi,DF,Tunisia,24-199,1998,3.0,177,24,97,77,3,1,177,0,1,0.0,1,1,96,0
Morteza Pouraliganji,DF,IR Iran,30-236,1992,3.0,156,19,86,60,10,4,156,0,0,,1,0,84,3
Moumi Ngamaleu,FW,Cameroon,28-155,1994,1.1,34,0,6,12,18,5,34,2,4,50.0,2,3,26,9
Munir,GK,Morocco,33-215,1989,1.0,31,29,31,0,0,0,31,0,0,,0,0,8,0
Musab Kheder,DF,Qatar,29-076,1993,0.1,5,0,2,2,1,0,5,0,0,,1,0,3,1
Na Sang-ho,FW,Korea Republic,26-121,1996,1.3,60,1,4,15,41,4,60,0,4,0.0,4,4,40,8
Nader Ghandri,DF,Tunisia,27-296,1995,1.0,45,10,33,12,0,0,45,0,0,,0,0,22,0
Nahuel Molina,DF,Argentina,24-249,1998,4.4,292,8,77,146,71,5,292,1,2,50.0,3,3,190,17
Nampalys Mendy,MF,Senegal,30-171,1992,3.0,182,5,42,111,31,1,182,1,1,100.0,4,0,122,2
Nasser Al-Dawsari,FW,Saudi Arabia,23-357,1998,0.1,13,1,3,6,4,0,13,0,0,,0,1,10,1
Nathan Aké,DF,Netherlands,27-296,1995,5.3,393,29,166,211,16,1,393,0,2,0.0,1,0,289,2
Nathaniel Atkinson,DF,Australia,23-181,1999,0.9,43,4,15,21,7,0,43,0,2,0.0,0,3,18,2
Nawaf Al Abed,MF,Saudi Arabia,32-319,1990,1.0,51,0,1,23,28,4,51,1,2,50.0,6,5,41,6
Nayef Aguerd,DF,Morocco,26-256,1996,3.9,185,41,132,53,1,1,185,0,0,,1,0,118,0
Naïm Sliti,MF,Tunisia,30-137,1992,1.3,67,0,5,26,37,4,67,5,8,62.5,4,1,39,4
Neco Williams,DF,Wales,21-242,2001,2.3,138,4,35,66,40,5,138,1,7,14.3,6,2,60,3
Nemanja Gudelj,MF,Serbia,31-025,1991,1.0,59,2,22,32,5,0,59,0,0,,2,2,42,1
Nemanja Maksimović,MF,Serbia,27-319,1995,1.4,75,3,17,46,12,1,75,0,0,,2,1,41,2
Nemanja Radonjić,DF,Serbia,26-299,1996,0.7,36,1,9,8,19,1,36,0,5,0.0,2,1,21,1
Neymar,MF,Brazil,30-309,1992,3.1,203,0,11,101,94,15,202,6,23,26.1,8,12,167,21
Niclas Füllkrug,FW,Germany,29-305,1993,0.8,38,0,0,14,24,13,38,1,1,100.0,2,0,27,13
Nico Elvedi,DF,Switzerland,26-072,1996,2.0,165,26,93,69,3,1,165,0,0,,1,0,114,0
Nico Schlotterbeck,DF,Germany,23-010,1999,1.0,135,8,46,80,10,0,135,0,2,0.0,1,1,101,2
Nico Williams,FW,Spain,20-152,2002,1.6,88,0,5,38,47,4,88,5,16,31.3,9,2,69,10
Nicola Zalewski,MF,Poland,20-322,2002,0.7,29,1,8,11,12,0,29,0,2,0.0,3,1,18,2
Nicolas Jackson,FW,Senegal,21-174,2001,0.2,11,0,5,2,4,1,11,0,0,,1,0,9,2
Nicolas Nkoulou,DF,Cameroon,32-259,1990,2.0,115,19,79,33,5,3,115,0,0,,1,0,79,1
Nicolás De La Cruz,MF,Uruguay,25-193,1997,0.4,28,0,2,15,12,2,28,0,1,0.0,1,1,23,1
Nicolás Otamendi,DF,Argentina,34-302,1988,5.3,507,41,222,277,8,3,507,0,0,,0,1,384,2
Nicolás Tagliafico,DF,Argentina,30-102,1992,1.8,115,4,21,59,37,7,115,0,2,0.0,1,1,73,9
Niklas Süle,DF,Germany,27-099,1995,3.0,268,15,89,157,24,2,268,0,0,,0,1,204,1
Nikola Milenković,DF,Serbia,25-060,1997,3.0,198,22,85,104,10,2,198,0,0,,2,0,118,0
Nikola Vlašić,FW,Croatia,25-068,1997,1.5,49,1,3,23,25,7,49,2,5,40.0,3,5,39,9
Noa Lang,MF,Netherlands,23-177,1999,0.1,5,1,3,1,1,0,5,0,0,,0,0,1,0
Noah Okafor,FW,Switzerland,22-201,2000,0.5,29,0,1,17,11,1,29,0,3,0.0,2,1,23,6
Nouhou Tolo,DF,Cameroon,25-171,1997,3.0,145,17,58,58,31,2,145,1,5,20.0,4,0,66,1
Noussair Mazraoui,DF,Morocco,25-027,1997,3.6,148,15,72,55,22,1,148,1,3,33.3,5,0,62,3
Nuno Mendes,DF,Portugal,20-175,2002,0.5,36,0,6,18,13,0,36,1,2,50.0,1,0,27,0
Néstor Araujo,DF,Mexico,31-104,1991,1.0,62,1,16,40,6,0,62,0,0,,0,1,37,0
Olivier Giroud,FW,France,36-072,1986,3.5,77,3,6,39,32,17,77,0,0,,4,0,55,9
Olivier Ntcham,MF,Cameroon,26-305,1996,0.3,14,1,3,7,4,0,14,2,2,100.0,0,0,10,0
Orbelín Pineda,MF,Mexico,26-262,1996,0.8,46,1,5,21,21,4,46,0,2,0.0,3,3,31,1
Osman Bukari,MF,Ghana,23-363,1998,0.7,29,0,1,10,18,4,29,0,2,0.0,1,1,17,6
Otávio,MF,Portugal,27-305,1995,2.2,145,0,16,88,41,1,145,0,0,,4,3,110,9
Ousmane Dembélé,FW,France,25-210,1997,3.5,193,1,16,51,129,16,193,7,17,41.2,6,5,150,15
Pablo Sarabia,FW,Spain,30-214,1992,0.0,6,0,0,0,6,1,6,0,0,,0,0,3,0
Paik Seung-ho,MF,Korea Republic,25-269,1997,0.3,30,1,4,18,8,1,30,0,0,,0,0,19,0
Pape Abou Cissé,DF,Senegal,27-088,1995,1.2,49,10,35,12,2,2,49,1,1,100.0,0,0,32,0
Pape Gueye,MF,Senegal,23-321,1999,1.7,81,2,17,46,19,3,81,0,1,0.0,3,3,42,3
Pape Matar Sarr,MF,Senegal,20-088,2002,0.7,54,3,11,28,15,0,54,0,2,0.0,0,2,36,1
Papu Gómez,MF,Argentina,34-299,1988,1.2,69,0,8,39,23,1,69,1,2,50.0,1,1,58,5
Pathé Ciss,MF,Senegal,28-270,1994,1.6,74,6,20,49,9,1,74,1,3,33.3,4,1,40,0
Pau Torres,DF,Spain,25-329,1997,1.0,194,6,30,162,2,0,194,0,0,,0,0,175,0
Pedri,MF,Spain,20-016,2002,4.0,462,3,35,324,107,2,462,6,11,54.5,4,5,395,9
Pedro,FW,Brazil,25-174,1997,0.7,25,0,3,10,12,5,25,0,0,,3,1,19,5
Pepe,DF,Portugal,39-288,1983,4.0,330,23,145,177,10,4,330,1,1,100.0,1,1,240,0
Pervis Estupiñán,DF,Ecuador,24-324,1998,3.0,217,7,44,122,54,5,217,2,8,25.0,4,4,124,8
Phil Foden,FW,England,22-197,2000,2.9,143,1,8,55,81,8,143,3,6,50.0,7,1,109,24
Piero Hincapié,DF,Ecuador,20-336,2002,3.0,227,11,123,100,4,0,227,0,0,,4,0,167,0
Pierre Højbjerg,MF,Denmark,27-128,1995,3.0,249,13,56,175,20,0,249,1,2,50.0,3,2,180,4
Pierre Kunde,MF,Cameroon,27-138,1995,1.5,70,6,19,43,10,2,70,0,1,0.0,2,3,33,1
Piotr Zieliński,MF,Poland,28-205,1994,3.6,178,7,23,115,43,3,178,1,4,25.0,2,1,113,4
Przemysław Frankowski,MF,Poland,27-243,1995,2.7,97,6,22,42,34,1,97,2,4,50.0,3,3,56,4
Rafael Leão,FW,Portugal,23-184,1999,1.0,63,1,7,20,36,6,63,6,9,66.7,5,2,49,12
Raheem Sterling,FW,England,28-003,1994,1.7,68,2,5,37,28,6,68,2,3,66.7,6,3,56,12
Ramin Rezaeian,DF,IR Iran,32-265,1990,2.0,130,8,49,47,36,3,130,1,1,100.0,7,3,67,5
Randal Kolo Muani,FW,France,24-006,1998,1.0,36,1,3,12,22,5,36,2,5,40.0,3,3,25,5
Raphaël Guerreiro,DF,Portugal,28-354,1993,3.1,207,2,45,92,71,6,207,2,2,100.0,1,1,138,14
Raphaël Varane,DF,France,29-230,1993,3.5,193,25,100,88,6,2,193,1,1,100.0,0,0,137,0
Raphinha,FW,Brazil,25-362,1996,3.5,189,2,18,68,104,20,189,4,15,26.7,6,4,136,18
Rasmus Nissen,DF,Denmark,25-153,1997,2.5,204,7,34,97,74,4,204,1,5,20.0,3,3,131,13
Raúl Jiménez,FW,Mexico,31-220,1991,0.7,37,1,3,16,18,3,37,0,0,,2,0,24,4
Remo Freuler,MF,Switzerland,30-240,1992,3.6,197,6,48,109,41,4,197,0,4,0.0,12,0,124,5
Renato Steffen,FW,Switzerland,31-038,1991,0.4,19,2,8,7,4,0,19,0,0,,1,2,8,0
Ricardo Horta,FW,Portugal,28-087,1994,1.3,55,1,8,17,30,6,55,0,0,,2,0,37,7
Ricardo Rodríguez,DF,Switzerland,30-108,1992,4.0,247,12,89,120,40,2,247,0,0,,2,3,158,6
Richarlison,FW,Brazil,25-215,1997,3.6,97,4,12,29,58,19,97,0,5,0.0,12,3,59,18
Richie Laryea,DF,Canada,27-338,1995,1.8,73,8,22,25,28,10,73,2,6,33.3,4,1,42,7
Riley McGree,FW,Australia,24-039,1998,2.9,107,2,16,53,39,4,107,0,1,0.0,8,2,62,9
Ritsu Doan,FW,Japan,24-178,1998,2.4,95,3,15,37,43,6,95,4,8,50.0,7,3,50,4
Riyadh Sharahili,MF,Saudi Arabia,29-227,1993,0.6,28,6,11,16,2,0,28,1,2,50.0,1,1,10,0
Roan Wilson,MF,Costa Rica,20-224,2002,0.0,8,1,3,5,0,0,8,0,0,,0,0,5,1
Robert Lewandowski,FW,Poland,34-112,1988,4.0,153,9,13,73,69,19,151,5,12,41.7,16,6,113,14
Robert Skov,DF,Denmark,26-205,1996,0.2,24,0,3,6,15,1,24,0,1,0.0,0,0,17,3
Roberto Alvarado,FW,Mexico,24-095,1998,0.2,12,0,0,5,7,0,12,0,1,0.0,0,0,10,1
Rodri,DF,Spain,26-172,1996,4.3,710,28,157,518,35,3,710,0,0,,0,0,598,2
Rodrigo Bentancur,MF,Uruguay,25-169,1997,2.4,197,7,54,125,25,2,197,3,6,50.0,6,3,118,0
Rodrigo De Paul,MF,Argentina,28-201,1994,4.7,498,3,53,302,148,7,498,1,6,16.7,6,5,380,10
Rodrygo,MF,Brazil,21-336,2001,2.0,152,3,10,63,80,15,152,2,9,22.2,9,3,106,14
Rogelio Funes Mori,FW,Mexico,31-281,1991,0.1,2,0,0,1,1,0,2,0,0,,0,0,3,0
Romain Saïss,DF,Morocco,32-260,1990,5.0,231,50,159,72,3,1,231,1,2,50.0,0,0,121,0
Romario Ibarra,MF,Ecuador,28-078,1994,0.8,23,1,4,13,7,2,23,1,1,100.0,3,1,14,4
Romelu Lukaku,FW,Belgium,29-212,1993,0.6,16,1,2,5,9,6,16,1,1,100.0,1,1,12,6
Roozbeh Cheshmi,DF,IR Iran,29-140,1993,0.6,19,4,13,5,1,0,19,0,0,,1,0,4,0
Ruben Vargas,FW,Switzerland,24-128,1998,3.2,140,4,17,46,79,9,140,1,7,14.3,6,1,99,18
Rubin Colwill,MF,Wales,20-228,2002,0.1,6,1,1,3,2,0,6,0,0,,0,0,3,0
Ró-Ró,DF,Qatar,32-127,1990,2.9,134,9,50,63,21,3,134,2,4,50.0,4,2,84,4
Rónald Matarrita,DF,Costa Rica,28-155,1994,0.3,30,0,12,15,4,1,30,1,1,100.0,1,0,22,0
Rúben Dias,DF,Portugal,25-211,1997,4.0,293,24,144,147,3,2,293,0,0,,2,1,216,0
Rúben Neves,MF,Portugal,25-273,1997,3.0,275,7,68,173,34,1,275,0,0,,1,1,220,1
Saad Al Sheeb,GK,Qatar,32-295,1990,1.0,22,21,22,0,0,0,22,0,0,,0,0,8,0
Sadegh Moharrami,DF,IR Iran,26-285,1996,1.0,32,5,12,12,8,1,32,1,1,100.0,0,2,14,1
Saeid Ezatolahi,MF,IR Iran,26-071,1996,2.4,115,6,33,66,20,1,115,0,1,0.0,5,0,62,1
Saleh Al-Shehri,FW,Saudi Arabia,29-040,1993,2.5,73,2,5,37,32,12,73,0,2,0.0,8,1,39,9
Salem Al-Dawsari,MF,Saudi Arabia,31-114,1991,3.0,146,1,20,63,68,13,145,2,10,20.0,13,6,106,17
Salis Abdul Samed,MF,Ghana,22-260,2000,2.8,169,15,64,82,24,0,169,3,4,75.0,4,2,121,2
Salman Al-Faraj,MF,Saudi Arabia,33-132,1989,0.5,19,0,1,11,7,0,19,0,0,,1,2,13,1
Sam Adekugbe,DF,Canada,27-329,1995,1.1,77,2,9,48,20,0,77,1,1,100.0,1,0,59,2
Saman Ghoddos,MF,IR Iran,29-096,1993,0.5,24,0,2,7,15,1,24,0,0,,2,1,19,6
Sami Al-Najei,MF,Saudi Arabia,25-307,1997,0.5,25,0,3,5,18,1,25,0,0,,1,1,15,2
Samuel Oum Gouet,MF,Cameroon,24-363,1997,1.1,65,4,23,38,5,0,65,0,0,,1,0,40,0
Sardar Azmoun,FW,IR Iran,27-344,1995,1.4,40,1,5,17,18,8,40,0,1,0.0,0,0,29,3
Saud Abdulhamid,DF,Saudi Arabia,23-146,1999,3.0,150,11,37,61,54,5,150,2,4,50.0,4,1,74,10
Saša Lukić,MF,Serbia,26-120,1996,2.7,182,6,30,132,21,1,182,0,1,0.0,2,2,130,3
Sebastian Szymański,MF,Poland,23-215,1999,1.5,61,3,18,28,16,3,61,1,3,33.3,5,2,35,6
Sebastián Coates,DF,Uruguay,32-065,1990,2.0,107,8,50,53,4,3,107,0,0,,0,2,66,1
Selim Amallah,MF,Morocco,26-026,1996,3.6,98,3,21,58,20,5,98,1,6,16.7,13,5,50,3
Serge Gnabry,FW,Germany,27-150,1995,2.9,148,1,9,42,98,21,148,3,5,60.0,4,7,111,16
Sergej Milinković-Savić,MF,Serbia,27-287,1995,2.6,158,8,33,88,41,4,158,3,6,50.0,7,2,106,7
Sergio Busquets,MF,Spain,34-148,1988,4.0,309,6,46,209,54,1,309,1,1,100.0,2,2,237,13
Sergio Rochet,GK,Uruguay,29-263,1993,3.0,88,78,87,1,0,0,88,0,0,,1,0,35,0
Sergiño Dest,DF,United States,22-038,2000,3.4,250,10,58,115,80,6,250,5,13,38.5,9,8,178,3
Shaquell Moore,DF,United States,26-039,1996,0.2,27,4,12,7,8,2,27,0,0,,0,0,16,1
Shogo Taniguchi,DF,Japan,31-149,1991,2.3,105,16,49,51,6,3,105,0,0,,0,0,62,0
Shūichi Gonda,GK,Japan,33-283,1989,4.3,124,106,124,0,0,0,124,0,0,,0,0,49,0
Silvan Widmer,DF,Switzerland,29-281,1993,2.9,208,13,67,95,47,6,208,1,2,50.0,5,6,126,8
Simon Kjær,DF,Denmark,33-260,1989,0.7,68,4,28,39,1,0,68,0,0,,1,0,45,0
Sofiane Boufal,FW,Morocco,29-085,1993,3.9,142,2,22,73,51,8,142,12,22,54.5,12,4,100,11
Sofyan Amrabat,MF,Morocco,26-112,1996,5.3,239,18,118,111,11,0,239,0,5,0.0,4,2,130,0
Son Heung-min,FW,Korea Republic,30-156,1992,4.0,158,2,19,43,98,19,158,3,15,20.0,8,6,107,25
Son Jun-ho,MF,Korea Republic,30-213,1992,0.8,68,2,17,49,2,0,68,0,0,,0,0,46,2
Sorba Thomas,MF,Wales,23-111,1999,0.0,6,0,1,2,3,0,6,0,1,0.0,0,1,4,0
Srđan Babić,DF,Serbia,26-233,1996,0.1,16,1,8,8,1,0,16,0,0,,0,0,11,0
Stefan Mitrović,DF,Serbia,32-203,1990,0.4,22,1,8,13,1,0,22,0,0,,0,0,19,0
Stephen Eustáquio,MF,Canada,25-355,1996,1.4,109,8,17,69,23,1,109,1,1,100.0,0,2,76,2
Steve Mandanda,GK,France,37-258,1985,1.0,32,28,32,0,0,0,32,0,0,,0,0,9,0
Steven Berghuis,MF,Netherlands,30-357,1991,2.2,141,0,10,84,49,2,141,1,4,25.0,1,1,109,11
Steven Bergwijn,FW,Netherlands,25-064,1997,2.4,85,0,5,45,36,4,85,1,4,25.0,4,2,74,22
Steven Vitória,DF,Canada,35-334,1987,3.0,203,14,85,117,1,0,203,0,1,0.0,1,1,142,0
Strahinja Pavlović,DF,Serbia,21-201,2001,2.6,186,14,71,101,17,3,186,2,3,66.7,4,3,120,3
Sultan Al-Ghanam,DF,Saudi Arabia,28-219,1994,1.4,68,5,19,25,26,3,68,0,2,0.0,4,1,36,2
Taha Yassine Khenissi,FW,Tunisia,30-339,1992,0.3,8,1,1,3,4,2,8,0,0,,1,2,3,0
Tajon Buchanan,MF,Canada,23-306,1999,2.9,131,3,20,42,72,8,131,7,25,28.0,8,7,95,17
Takefusa Kubo,FW,Japan,21-190,2001,1.0,23,1,4,10,10,4,23,0,0,,5,1,13,0
Takehiro Tomiyasu,DF,Japan,24-036,1998,2.1,118,11,60,43,15,2,118,0,0,,2,0,68,1
Takuma Asano,FW,Japan,28-031,1994,1.8,49,2,6,16,28,9,49,0,1,0.0,7,1,27,11
Takumi Minamino,FW,Japan,27-329,1995,0.7,32,1,7,12,13,4,32,0,0,,2,2,20,5
Tarek Salman,DF,Qatar,25-006,1997,0.1,14,1,7,6,1,0,14,0,0,,0,0,9,0
Tariq Lamptey,DF,Ghana,22-072,2000,1.1,50,7,23,18,10,1,50,0,3,0.0,1,1,17,3
Teun Koopmeiners,MF,Netherlands,24-286,1998,2.4,149,7,32,95,22,0,149,1,2,50.0,2,4,99,7
Theo Hernández,DF,France,25-066,1997,3.9,285,9,61,144,82,7,285,1,4,25.0,4,5,192,11
Thiago Almada,MF,Argentina,21-229,2001,0.1,15,0,0,8,7,0,15,0,0,,2,0,15,2
Thiago Silva,DF,Brazil,38-080,1984,4.3,369,22,139,220,10,3,369,0,1,0.0,2,0,290,0
Thibaut Courtois,GK,Belgium,30-214,1992,3.0,129,121,128,1,0,0,129,1,1,100.0,0,0,66,0
Thilo Kehrer,DF,Germany,26-081,1996,0.8,43,3,21,15,7,0,43,0,0,,1,0,20,1
Thomas Delaney,MF,Denmark,31-099,1991,0.5,31,2,6,19,6,1,31,0,0,,0,0,23,0
Thomas Meunier,DF,Belgium,31-090,1991,2.3,167,6,56,69,42,2,167,1,3,33.3,2,1,114,13
Thomas Müller,FW,Germany,33-089,1989,2.2,91,0,6,35,52,13,91,0,0,,4,2,71,11
Thomas Partey,MF,Ghana,29-181,1993,3.0,220,17,66,129,28,3,220,3,3,100.0,5,4,148,5
Thorgan Hazard,FW,Belgium,29-257,1993,1.2,66,0,11,26,30,2,66,0,2,0.0,4,0,39,9
Tim Ream,DF,United States,35-067,1987,4.0,305,25,117,180,9,3,305,2,2,100.0,4,0,203,0
Timothy Castagne,DF,Belgium,27-006,1995,3.0,229,11,80,119,30,2,229,0,2,0.0,3,0,164,6
Timothy Weah,FW,United States,22-292,2000,3.5,132,0,8,54,72,11,132,2,2,100.0,9,5,99,18
Toby Alderweireld,DF,Belgium,33-284,1989,3.0,303,40,172,127,8,1,303,0,0,,2,0,243,0
Trent Alexander-Arnold,DF,England,24-065,1998,0.4,24,0,10,12,2,0,24,0,0,,0,0,15,0
Tyler Adams,MF,United States,23-300,1999,4.0,307,8,67,205,36,0,307,1,1,100.0,4,3,192,2
Unai Simón,GK,Spain,25-183,1997,4.3,167,133,163,4,0,0,167,0,0,,0,0,112,0
Uriel Antuna,FW,Mexico,25-112,1997,0.9,33,0,2,14,18,1,33,0,1,0.0,6,0,24,6
Vanja Milinković-Savić,GK,Serbia,25-294,1997,3.0,136,105,131,5,0,0,136,0,0,,0,0,64,0
Victor Nelsson,DF,Denmark,24-058,1998,1.0,79,4,17,59,3,0,79,0,0,,0,0,58,0
Vincent Aboubakar,FW,Cameroon,30-323,1992,1.6,50,6,8,19,23,8,50,5,7,71.4,3,0,32,7
Vincent Janssen,FW,Netherlands,28-179,1994,1.0,32,1,1,12,19,4,32,1,1,100.0,4,1,22,5
Vinicius Júnior,FW,Brazil,22-152,2000,3.3,132,2,10,41,83,19,132,5,15,33.3,8,11,105,22
Virgil van Dijk,DF,Netherlands,31-156,1991,5.3,399,61,211,181,8,4,399,0,0,,2,0,275,0
Vitinha,MF,Portugal,22-301,2000,1.3,118,1,7,79,32,0,118,1,2,50.0,2,1,102,5
Wahbi Khazri,FW,Tunisia,31-306,1991,0.9,36,0,5,12,19,5,36,0,3,0.0,3,2,20,7
Wajdi Kechrida,DF,Tunisia,27-036,1995,1.2,77,4,28,25,25,1,77,0,3,0.0,1,3,42,7
Walid Cheddira,FW,Morocco,24-323,1998,0.7,18,2,2,10,6,4,18,0,1,0.0,3,0,13,4
Walker Zimmerman,DF,United States,29-206,1993,3.1,274,26,137,132,5,1,274,0,0,,0,0,191,0
Wataru Endo,MF,Japan,29-305,1993,3.4,239,14,60,139,41,2,239,1,5,20.0,2,5,147,3
Wayne Hennessey,GK,Wales,35-321,1987,1.9,68,61,67,1,0,0,68,0,0,,0,0,27,0
Weston McKennie,MF,United States,24-105,1998,3.0,177,7,19,98,61,8,177,1,2,50.0,2,3,131,15
William Carvalho,MF,Portugal,30-248,1992,2.4,182,5,52,109,22,1,182,0,0,,2,0,146,0
William Saliba,DF,France,21-262,2001,0.3,38,2,14,19,5,0,38,1,1,100.0,1,0,31,0
Wojciech Szczęsny,GK,Poland,32-237,1990,4.0,159,136,158,1,0,0,159,0,0,,0,0,56,0
Wout Weghorst,FW,Netherlands,30-126,1992,0.7,22,0,2,11,9,4,22,0,0,,1,0,14,1
Wéverton,GK,Brazil,34-363,1987,0.1,5,5,5,0,0,0,5,0,0,,0,0,2,0
Xavi Simons,FW,Netherlands,19-234,2003,0.1,11,0,3,6,2,0,11,0,0,,0,0,9,0
Xherdan Shaqiri,FW,Switzerland,31-062,1991,2.5,111,0,8,43,60,5,111,0,3,0.0,1,5,94,15
Yahya Attiat Allah,DF,Morocco,27-284,1995,2.0,81,10,48,26,8,2,81,0,1,0.0,1,0,27,2
Yahya Jabrane,MF,Morocco,31-176,1991,0.2,,,,,,,,,,,,,,
Yann Sommer,GK,Switzerland,33-359,1988,3.0,126,99,126,0,0,0,126,0,0,,0,0,76,0
Yannick Carrasco,FW,Belgium,29-098,1993,1.3,68,3,16,27,25,6,68,1,3,33.3,2,2,45,6
Yasser Al-Shahrani,DF,Saudi Arabia,30-200,1992,1.0,43,3,13,24,6,0,43,0,0,,2,0,15,0
Yassine Bounou,GK,Morocco,31-250,1991,4.3,142,128,142,0,0,0,142,0,0,,0,0,63,0
Yassine Meriah,DF,Tunisia,29-162,1993,3.0,208,29,104,98,7,1,208,2,4,50.0,2,0,138,1
Yeltsin Tejeda,MF,Costa Rica,30-269,1992,3.0,128,9,50,68,11,1,128,0,2,0.0,1,2,74,0
Youri Tielemans,MF,Belgium,25-218,1997,1.1,77,4,20,48,10,0,77,0,0,,2,0,48,2
Youssef En-Nesyri,FW,Morocco,25-193,1997,4.3,100,11,31,46,23,8,100,5,8,62.5,8,0,55,11
Youssef Msakni,MF,Tunisia,32-044,1990,1.9,95,1,16,40,40,14,95,4,7,57.1,5,5,62,13
Youssouf Fofana,MF,France,23-335,1999,1.2,81,2,18,51,16,0,81,0,0,,3,2,61,3
Youssouf Sabaly,DF,Senegal,29-281,1993,4.0,253,5,65,112,79,4,253,4,9,44.4,5,1,167,8
Youssoufa Moukoko,FW,Germany,18-021,2004,0.0,2,0,1,0,1,0,2,0,0,,0,0,1,0
Youstin Salas,DF,Costa Rica,26-177,1996,0.5,27,4,16,7,5,0,27,1,2,50.0,1,1,6,0
Yuki Soma,FW,Japan,25-289,1997,0.9,26,0,2,6,18,1,26,1,2,50.0,2,0,15,3
Yunus Musah,MF,United States,20-012,2002,3.8,221,3,23,126,77,4,221,4,11,36.4,5,3,157,13
Yuto Nagatomo,MF,Japan,36-090,1986,2.3,123,6,27,59,37,0,123,3,4,75.0,1,1,67,2
Zakaria Aboukhlal,MF,Morocco,22-296,2000,0.6,19,2,3,9,7,1,19,0,0,,1,0,11,0
Álvaro Morata,FW,Spain,30-049,1992,2.1,58,3,5,29,25,13,58,1,3,33.3,2,5,49,13
Álvaro Zamora,MF,Costa Rica,20-277,2002,0.3,9,0,1,7,2,0,9,0,0,,1,1,7,1
Ángel Di María,MF,Argentina,34-300,1988,2.5,158,1,10,39,111,12,158,9,19,47.4,6,6,134,18
Ángelo Preciado,DF,Ecuador,24-296,1998,2.9,162,3,38,78,46,3,162,0,4,0.0,6,2,81,1
Éder Militão,DF,Brazil,24-327,1998,3.9,306,12,103,151,55,6,306,0,0,,6,1,217,5
Óscar Duarte,DF,Costa Rica,33-191,1989,3.0,132,29,93,35,4,1,132,0,0,,1,0,70,0
İlkay Gündoğan,MF,Germany,32-048,1990,2.1,187,2,17,117,55,6,186,2,2,100.0,4,1,142,6
